	Wlevel			Surge		
2006-02-01	Observed max	Modelled MAx	Time difference of peak (obs-model in hours)	Observed max	Modelled MAx	Time difference of peak (obs-model in hours)
Point Atkinson 	5.460	5.588	0.000	0.844	0.841	-3.000
Victoria       	3.440	3.415	-1.000	0.700	0.745	1.000
Patricia Bay   	4.250	4.179	-1.000	0.781	0.773	-2.000
Campbell River 	5.100	5.170	-1.000	0.876	0.815	-5.000
2006-11-01						
Point Atkinson 	5.010	5.040	0.000	0.880	0.725	1.000
Victoria       	2.995	2.968	1.000	0.664	0.563	5.000
Patricia Bay   	3.840	3.743	0.000	0.709	0.607	2.000
Campbell River 	4.750	4.739	0.000	0.709	0.666	-1.000
2006-12-01						
Point Atkinson 	4.565	4.654	0.000	0.944	0.699	0.000
Victoria       	2.965	3.005	-1.000	0.737	0.580	1.000
Patricia Bay   	3.505	3.480	0.000	0.859	0.613	1.000
Campbell River 	4.295	4.389	-1.000	0.823	0.626	0.000
2009-11-01						
Point Atkinson 	5.150	5.272	0.000	0.699	0.587	-7.000
Victoria       	3.195	3.144	-4.000	0.718	0.540	-8.000
Patricia Bay   	3.985	3.902	0.000	0.637	0.541	-8.000
Campbell River 	4.680	4.782	0.000	0.664	0.588	-1.000
						
Dec 2012 Runs						
CGRF	5.345	5.416	0.000	0.663	0.555	-4.000
Point Atkinson 	3.145	3.117	0.000	0.663	0.518	-4.000
Victoria       	4.115	3.975	0.000	0.632	0.533	-4.000
Patricia Bay   	4.805	4.900	0.000	0.578	0.507	-6.000
Campbell River 						
HRDPS						
Point Atkinson 	5.345	5.414	0.000	0.663	0.555	-4.000
Victoria       	3.145	3.123	0.000	0.663	0.518	-4.000
Patricia Bay   	4.115	3.984	0.000	0.632	0.533	-4.000
Campbell River 	4.805	4.905	0.000	0.578	0.511	-6.000
						
Averages 2 (with Dec 2012 HRDPS)						
Point Atkinson 	5.106	5.194	0.000	0.806	0.681	-2.600
Victoria       	3.148	3.131	-1.000	0.696	0.589	-1.000
Patricia Bay   	3.939	3.857	-0.200	0.724	0.613	-2.200
Campbell River 	4.726	4.797	-0.400	0.730	0.641	-2.600
Total Avearge	4.230	4.245	-0.400	0.739	0.631	-2.100
						
Averages 3 (with Dec 2012 CGRF)						
Point Atkinson 	5.106	5.194	0.000	0.806	0.681	-2.600
Victoria       	3.148	3.130	-1.000	0.696	0.589	-1.000
Patricia Bay   	3.939	3.856	-0.200	0.724	0.614	-2.200
Campbell River 	4.726	4.796	-0.400	0.730	0.640	-2.600
