Feb 2006&  &  &  &  &  & \\
Point Atkinson  & 5.460 & 5.588 & 0 & 0.844 & 0.841 & -3\\
Victoria        & 3.440 & 3.415 & -1 & 0.700 & 0.745 & 1\\
Patricia Bay    & 4.250 & 4.179 & -1 & 0.781 & 0.773 & -2\\
Campbell River  & 5.100 & 5.170 & -1 & 0.876 & 0.815 & -5\\
Nov 2006 &  &  &  &  &  & \\
Point Atkinson  & 5.010 & 5.040 & 0 & 0.880 & 0.725 & 1\\
Victoria        & 2.995 & 2.968 & 1 & 0.664 & 0.563 & 5\\
Patricia Bay    & 3.840 & 3.743 & 0 & 0.709 & 0.607 & 2\\
Campbell River  & 4.750 & 4.739 & 0 & 0.709 & 0.666 & -1\\
Dec 2006 &  &  &  &  &  & \\
Point Atkinson  & 4.565 & 4.654 & 0 & 0.944 & 0.699 & 0\\
Victoria        & 2.965 & 3.005 & -1 & 0.737 & 0.580 & 1\\
Patricia Bay    & 3.505 & 3.480 & 0 & 0.859 & 0.613 & 1\\
Campbell River  & 4.295 & 4.389 & -1 & 0.823 & 0.626 & 0\\
Nov 2009 &  &  &  &  &  & \\
Point Atkinson  & 5.150 & 5.272 & 0 & 0.699 & 0.587 & -7\\
Victoria        & 3.195 & 3.144 & -4 & 0.718 & 0.540 & -8\\
Patricia Bay    & 3.985 & 3.902 & 0 & 0.637 & 0.541 & -8\\
Campbell River  & 4.680 & 4.782 & 0 & 0.664 & 0.588 & -1\\
Dec 2012-CRGF &  &  &  &  &  & \\
Point Atkinson  & 5.345 & 5.416 & 0 & 0.663 & 0.555 & -4\\
Victoria        & 3.145 & 3.117 & 0 & 0.663 & 0.518 & -4\\
Patricia Bay    & 4.115 & 3.975 & 0 & 0.632 & 0.533 & -4\\
Campbell River  & 4.805 & 4.900 & 0 & 0.578 & 0.507 & -6\\
Dec 2012-HRDPS &  &  &  &  &  & \\
Point Atkinson  & 5.345 & 5.414 & 0 & 0.663 & 0.555 & -4\\
Victoria        & 3.145 & 3.123 & 0 & 0.663 & 0.518 & -4\\
Patricia Bay    & 4.115 & 3.984 & 0 & 0.632 & 0.533 & -4\\
Campbell River  & 4.805 & 4.905 & 0 & 0.578 & 0.511 & -6\\
Averages  &  &  &  &  &  & \\
Point Atkinson & 5.106 & 5.194 & 0 & 0.806 & 0.681 & -2.6 \\
Victoria       & 3.148 & 3.130 & -1.0 & 0.696 & 0.589 & -1.0\\
Patricia Bay   & 3.939 & 3.856 & -0.2 & 0.724 & 0.614 & -2.2\\
Campbell River & 4.726 & 4.796 & -0.4 & 0.730 & 0.640 & -2.6 \\

