	Wlevel					Surge				
2006-02-01	mean abs error	obs max	model max	gamma2	wilmott	mean abs error	obs max	model max	gamma2	wilmott
Point Atkinson 	10.5	3.46	3.54	0.012	0.996	6.2	0.273	0.309	0.065	0.979
Victoria       	7.6	2.18	2.19	0.032	0.992	6.1	0.235	0.278	0.085	0.97
Patricia Bay   	9.1	2.6	2.64	0.024	0.992	6.8	0.223	0.278	0.07	0.969
Campbell River 	13.1	3.2	3.21	0.041	0.99	5.8	0.303	0.3	0.079	0.978
2006-11-01										
Point Atkinson 	9.8	3.42	3.43	0.034	0.991	7.7	0.29	0.247	0.128	0.95
Victoria       	9.1	2.16	2.11	0.07	0.978	6.2	0.222	0.202	0.171	0.946
Patricia Bay   	10	2.57	2.53	0.049	0.985	6.6	0.235	0.203	0.144	0.947
Campbell River 	10.7	3.2	3.26	0.037	0.989	6.2	0.254	0.236	0.14	0.952
2006-12-01										
Point Atkinson 	10.5	3.45	3.47	0.025	0.994	11.1	0.212	0.186	0.275	0.891
Victoria       	9.6	2.23	2.16	0.042	0.984	7.9	0.19	0.156	0.223	0.911
Patricia Bay   	9.2	2.63	2.58	0.031	0.99	9.5	0.193	0.149	0.26	0.889
Campbell River 	10.6	3.23	3.28	0.03	0.992	9.4	0.191	0.163	0.247	0.905
2009-11-01										
Point Atkinson 	14	3.43	3.54	0.012	0.995	5.8	0.295	0.316	0.2	0.926
Victoria       	9.9	2.25	2.23	0.024	0.988	4.5	0.312	0.28	0.211	0.911
Patricia Bay   	10.3	2.59	2.64	0.019	0.997	5.6	0.265	0.275	0.23	0.918
Campbell River 	13.6	3.22	3.26	0.019	0.991	4.5	0.313	0.297	0.182	0.934
Averages										
Point Atkinson 	11.2	3.44	3.495	0.02075	0.994	7.7	0.2675	0.2645	0.167	0.9365
Victoria       	9.05	2.205	2.1725	0.042	0.9855	6.175	0.23975	0.229	0.1725	0.9345
Patricia Bay   	9.65	2.5975	2.5975	0.03075	0.991	7.125	0.229	0.22625	0.176	0.93075
Campbell River 	12	3.2125	3.2525	0.03175	0.9905	6.475	0.26525	0.249	0.162	0.94225
Total Avearge	10.475	0.015625	mean bias	0.0313125	0.99025	6.86875	0.0081875	mean bias	0.169375	0.936
										
Dec 2012 Runs										
CGRF										
Point Atkinson 	9.1	3.36	3.4	0.006	0.998	5	0.3	0.29	0.161	0.949
Victoria       	14.6	2.15	2.08	0.039	0.988	4.8	0.309	0.274	0.15	0.937
Patricia Bay   	14.2	2.55	2.51	0.026	0.992	4.7	0.3	0.274	0.14	0.945
Campbell River 	11.6	3.06	3.09	0.013	0.996	5.7	0.241	0.278	0.182	0.921
HRDPS	                	                      	                      	            	        	                	                        	                        	           	           
Point Atkinson 	8.8	3.35	3.39	0.006	0.998	5.4	0.3	0.278	0.163	0.943
Victoria       	14.3	2.15	2.09	0.038	0.988	4.6	0.309	0.277	0.145	0.941
Patricia Bay   	14	2.55	2.52	0.025	0.993	4.5	0.3	0.278	0.13	0.953
Campbell River 	11.6	3.06	3.09	0.014	0.993	5.6	0.241	0.275	0.183	0.924
										
Averages 2 (with Dec 2012)										
Point Atkinson 	10.45	3.4116666667	3.4616666667	0.0158333333	0.9953333333	6.8666666667	0.2783333333	0.271	0.1653333333	0.9396666667
Victoria       	10.85	2.1866666667	2.1433333333	0.0408333333	0.9863333333	5.6833333333	0.2628333333	0.2445	0.1641666667	0.936
Patricia Bay   	11.1333333333	2.5816666667	2.57	0.029	0.9915	6.2833333333	0.2526666667	0.2428333333	0.1623333333	0.9368333333
Campbell River 	11.8666666667	3.1616666667	3.1983333333	0.0256666667	0.9918333333	6.2	0.2571666667	0.2581666667	0.1688333333	0.9356666667
										
Averages 3 (with Dec 2012	CGRF)									
Point Atkinson 	10.8	3.42	3.48	0.018	0.995	7.2	0.274	0.27	0.166	0.939
Victoria       	10.2	2.19	2.15	0.041	0.986	5.9	0.254	0.238	0.168	0.935
Patricia Bay   	10.6	2.59	2.58	0.03	0.991	6.6	0.243	0.236	0.169	0.934
Campbell River 	11.9	3.18	3.22	0.028	0.992	6.3	0.26	0.255	0.166	0.938
