Harmonics from: ,NeahBay_31-Dec-2005_02-Jan-2007.csv,
Mean ,-0.044919,
Latitude ,48.366667,
Time_Local , pred_8 , pred_all , pred_noshallow 
31-Dec-2005 00:00:00 , 0.340894, 0.388726, 0.365057
31-Dec-2005 01:00:00 , 0.587110, 0.606024, 0.608531
31-Dec-2005 02:00:00 , 0.618985, 0.618601, 0.634228
31-Dec-2005 03:00:00 , 0.478682, 0.463705, 0.487977
31-Dec-2005 04:00:00 , 0.253208, 0.230751, 0.259782
31-Dec-2005 05:00:00 , 0.049234, 0.044622, 0.058179
31-Dec-2005 06:00:00 , -0.037059, -0.001252, -0.020067
31-Dec-2005 07:00:00 , 0.052728, 0.119721, 0.082741
31-Dec-2005 08:00:00 , 0.321898, 0.394271, 0.367938
31-Dec-2005 09:00:00 , 0.715924, 0.787122, 0.777846
31-Dec-2005 10:00:00 , 1.135152, 1.213577, 1.208831
31-Dec-2005 11:00:00 , 1.459866, 1.536164, 1.537102
31-Dec-2005 12:00:00 , 1.581421, 1.629926, 1.650928
31-Dec-2005 13:00:00 , 1.431507, 1.445733, 1.481052
31-Dec-2005 14:00:00 , 1.002025, 1.002668, 1.021304
31-Dec-2005 15:00:00 , 0.350328, 0.352864, 0.333771
31-Dec-2005 16:00:00 , -0.411758, -0.416825, -0.463206
31-Dec-2005 17:00:00 , -1.142631, -1.174535, -1.221450
31-Dec-2005 18:00:00 , -1.703355, -1.775678, -1.797234
31-Dec-2005 19:00:00 , -1.989872, -2.108504, -2.084802
31-Dec-2005 20:00:00 , -1.957011, -2.106860, -2.040664
31-Dec-2005 21:00:00 , -1.628350, -1.759737, -1.692663
31-Dec-2005 22:00:00 , -1.089479, -1.148435, -1.131721
31-Dec-2005 23:00:00 , -0.466390, -0.450403, -0.488579
01-Jan-2006 00:00:00 , 0.105595, 0.145042, 0.098447
01-Jan-2006 01:00:00 , 0.514559, 0.532947, 0.516590
01-Jan-2006 02:00:00 , 0.698202, 0.695770, 0.704500
01-Jan-2006 03:00:00 , 0.657025, 0.649380, 0.664670
01-Jan-2006 04:00:00 , 0.451288, 0.438840, 0.459616
01-Jan-2006 05:00:00 , 0.182654, 0.170136, 0.193015
01-Jan-2006 06:00:00 , -0.034639, -0.020684, -0.019373
01-Jan-2006 07:00:00 , -0.105627, -0.049208, -0.081664
01-Jan-2006 08:00:00 , 0.018779, 0.095096, 0.055363
01-Jan-2006 09:00:00 , 0.327335, 0.395116, 0.379517
01-Jan-2006 10:00:00 , 0.749959, 0.815508, 0.818448
01-Jan-2006 11:00:00 , 1.174922, 1.257178, 1.256910
01-Jan-2006 12:00:00 , 1.477416, 1.564142, 1.565950
01-Jan-2006 13:00:00 , 1.552295, 1.613693, 1.636748
01-Jan-2006 14:00:00 , 1.342602, 1.376922, 1.410440
01-Jan-2006 15:00:00 , 0.856542, 0.886510, 0.896065
01-Jan-2006 16:00:00 , 0.168427, 0.197621, 0.171688
01-Jan-2006 17:00:00 , -0.596874, -0.592431, -0.631923
01-Jan-2006 18:00:00 , -1.292265, -1.332915, -1.361163
01-Jan-2006 19:00:00 , -1.782602, -1.873034, -1.875508
01-Jan-2006 20:00:00 , -1.976265, -2.115146, -2.080416
01-Jan-2006 21:00:00 , -1.846319, -2.013659, -1.948948
01-Jan-2006 22:00:00 , -1.436021, -1.577838, -1.526798
01-Jan-2006 23:00:00 , -0.847363, -0.913258, -0.919716
02-Jan-2006 00:00:00 , -0.215553, -0.215072, -0.266760
02-Jan-2006 01:00:00 , 0.324126, 0.335938, 0.293753
