Harmonics from: ,/data/nsoontie/MEOPAR/tools/I_ForcingFiles/OBC/wlev_8615_31-Dec-2004_02-Jan-2006.csv,
Mean ,2.103916,
Latitude ,49.154,
Time_Local , pred_8 , pred_all 
31-Dec-2005 00:00:00 ,0.781693,0.924676
31-Dec-2005 01:00:00 ,0.928991,1.085686
31-Dec-2005 02:00:00 ,0.803277,0.928208
31-Dec-2005 03:00:00 ,0.476195,0.571019
31-Dec-2005 04:00:00 ,0.070559,0.165923
31-Dec-2005 05:00:00 ,-0.273098,-0.162977
31-Dec-2005 06:00:00 ,-0.434477,-0.310554
31-Dec-2005 07:00:00 ,-0.346201,-0.210692
31-Dec-2005 08:00:00 ,-0.012807,0.134339
31-Dec-2005 09:00:00 ,0.48897,0.649112
31-Dec-2005 10:00:00 ,1.028843,1.201703
31-Dec-2005 11:00:00 ,1.455971,1.644702
31-Dec-2005 12:00:00 ,1.637987,1.838635
31-Dec-2005 13:00:00 ,1.49615,1.673192
31-Dec-2005 14:00:00 ,1.027592,1.143027
31-Dec-2005 15:00:00 ,0.308827,0.375234
31-Dec-2005 16:00:00 ,-0.520613,-0.459235
31-Dec-2005 17:00:00 ,-1.290538,-1.208717
31-Dec-2005 18:00:00 ,-1.840511,-1.739896
31-Dec-2005 19:00:00 ,-2.058264,-1.961088
31-Dec-2005 20:00:00 ,-1.90654,-1.837695
31-Dec-2005 21:00:00 ,-1.431625,-1.390425
31-Dec-2005 22:00:00 ,-0.751409,-0.720914
31-Dec-2005 23:00:00 ,-0.02595,0.012091
01-Jan-2006 00:00:00 ,0.582084,0.659263
01-Jan-2006 01:00:00 ,0.947164,1.077766
01-Jan-2006 02:00:00 ,1.010896,1.151512
01-Jan-2006 03:00:00 ,0.794735,0.898349
01-Jan-2006 04:00:00 ,0.392311,0.470883
01-Jan-2006 05:00:00 ,-0.056598,0.031607
01-Jan-2006 06:00:00 ,-0.40376,-0.296781
01-Jan-2006 07:00:00 ,-0.532164,-0.413211
01-Jan-2006 08:00:00 ,-0.387532,-0.261029
01-Jan-2006 09:00:00 ,0.006481,0.141293
01-Jan-2006 10:00:00 ,0.553335,0.698603
01-Jan-2006 11:00:00 ,1.107743,1.26567
01-Jan-2006 12:00:00 ,1.512835,1.691981
01-Jan-2006 13:00:00 ,1.640931,1.838554
01-Jan-2006 14:00:00 ,1.427551,1.603969
01-Jan-2006 15:00:00 ,0.889927,1.006182
01-Jan-2006 16:00:00 ,0.125167,0.195401
01-Jan-2006 17:00:00 ,-0.711655,-0.646006
01-Jan-2006 18:00:00 ,-1.444144,-1.364257
01-Jan-2006 19:00:00 ,-1.916887,-1.833166
01-Jan-2006 20:00:00 ,-2.032864,-1.971285
01-Jan-2006 21:00:00 ,-1.776624,-1.753002
01-Jan-2006 22:00:00 ,-1.217453,-1.219923
01-Jan-2006 23:00:00 ,-0.491735,-0.500053
02-Jan-2006 00:00:00 ,0.231028,0.241844
02-Jan-2006 01:00:00 ,0.790008,0.859685
02-Jan-2006 02:00:00 ,1.072172,1.205703
02-Jan-2006 03:00:00 ,1.038951,1.177655
02-Jan-2006 04:00:00 ,0.733835,0.834273
02-Jan-2006 05:00:00 ,0.269128,0.354644
02-Jan-2006 06:00:00 ,-0.204669,-0.102001
02-Jan-2006 07:00:00 ,-0.538951,-0.421482
02-Jan-2006 08:00:00 ,-0.626329,-0.507862
02-Jan-2006 09:00:00 ,-0.429133,-0.314871
02-Jan-2006 10:00:00 ,0.010178,0.122555
02-Jan-2006 11:00:00 ,0.579386,0.694736
02-Jan-2006 12:00:00 ,1.125043,1.252524
02-Jan-2006 13:00:00 ,1.49194,1.648113
02-Jan-2006 14:00:00 ,1.56349,1.744552
02-Jan-2006 15:00:00 ,1.292752,1.45265
02-Jan-2006 16:00:00 ,0.716164,0.816868
02-Jan-2006 17:00:00 ,-0.053597,0.00634
02-Jan-2006 18:00:00 ,-0.853942,-0.796523
02-Jan-2006 19:00:00 ,-1.511364,-1.446855
02-Jan-2006 20:00:00 ,-1.883385,-1.829594
02-Jan-2006 21:00:00 ,-1.892994,-1.873421
02-Jan-2006 22:00:00 ,-1.546986,-1.565492
02-Jan-2006 23:00:00 ,-0.933676,-0.970389
03-Jan-2006 00:00:00 ,-0.200613,-0.232632
03-Jan-2006 01:00:00 ,0.482064,0.487962
03-Jan-2006 02:00:00 ,0.963416,1.049078
03-Jan-2006 03:00:00 ,1.148182,1.301793
03-Jan-2006 04:00:00 ,1.01888,1.170558
03-Jan-2006 05:00:00 ,0.638116,0.75576
03-Jan-2006 06:00:00 ,0.130695,0.245665
03-Jan-2006 07:00:00 ,-0.349765,-0.21747
