Harmonics from: ,wlev_8615_31-Dec-2005_02-Jan-2007.csv,
Mean ,2.082694,
Latitude ,49.154000,
Time_Local , pred_8 , pred_all ,
31-Dec-2005 00:00:00 , 0.781036, 0.945946,
31-Dec-2005 01:00:00 , 0.933468, 1.113661,
31-Dec-2005 02:00:00 , 0.812703, 0.955934,
31-Dec-2005 03:00:00 , 0.489305, 0.598254,
31-Dec-2005 04:00:00 , 0.085272, 0.192819,
31-Dec-2005 05:00:00 , -0.259212, -0.139505,
31-Dec-2005 06:00:00 , -0.423642, -0.292555,
31-Dec-2005 07:00:00 , -0.339937, -0.198070,
31-Dec-2005 08:00:00 , -0.011609, 0.144424,
31-Dec-2005 09:00:00 , 0.485692, 0.661720,
31-Dec-2005 10:00:00 , 1.022559, 1.217359,
31-Dec-2005 11:00:00 , 1.448605, 1.660393,
31-Dec-2005 12:00:00 , 1.631398, 1.855658,
31-Dec-2005 13:00:00 , 1.491652, 1.691547,
31-Dec-2005 14:00:00 , 1.025632, 1.156149,
31-Dec-2005 15:00:00 , 0.308914, 0.381152,
31-Dec-2005 16:00:00 , -0.519726, -0.456658,
31-Dec-2005 17:00:00 , -1.290453, -1.212878,
31-Dec-2005 18:00:00 , -1.842690, -1.757338,
31-Dec-2005 19:00:00 , -2.063564, -1.987554,
31-Dec-2005 20:00:00 , -1.914908, -1.862659,
31-Dec-2005 21:00:00 , -1.442038, -1.408461,
31-Dec-2005 22:00:00 , -0.762073, -0.730108,
31-Dec-2005 23:00:00 , -0.034716, 0.016420,
01-Jan-2006 00:00:00 , 0.577195, 0.682165,
01-Jan-2006 01:00:00 , 0.947470, 1.116282,
01-Jan-2006 02:00:00 , 1.016705, 1.195665,
01-Jan-2006 03:00:00 , 0.805249, 0.943163,
01-Jan-2006 04:00:00 , 0.405797, 0.517854,
01-Jan-2006 05:00:00 , -0.042416, 0.078028,
01-Jan-2006 06:00:00 , -0.391176, -0.257151,
01-Jan-2006 07:00:00 , -0.522977, -0.381396,
01-Jan-2006 08:00:00 , -0.382662, -0.233897,
01-Jan-2006 09:00:00 , 0.007139, 0.166862,
01-Jan-2006 10:00:00 , 0.550801, 0.724524,
01-Jan-2006 11:00:00 , 1.103616, 1.291148,
01-Jan-2006 12:00:00 , 1.508816, 1.717098,
