Harmonics from: ,/data/nsoontie/MEOPAR/tools/I_ForcingFiles/OBC/wlev_8615_31-Dec-2005_02-Jan-2007.csv,
Mean ,2.110716,
Latitude ,49.154,
Time_Local , pred_8 , pred_all 
31-Dec-2005 00:00:00 ,0.781067,0.988208
31-Dec-2005 01:00:00 ,0.93361,1.155004
31-Dec-2005 02:00:00 ,0.812555,0.99609
31-Dec-2005 03:00:00 ,0.488407,0.636264
31-Dec-2005 04:00:00 ,0.083255,0.226573
31-Dec-2005 05:00:00 ,-0.262497,-0.109467
31-Dec-2005 06:00:00 ,-0.428043,-0.264823
31-Dec-2005 07:00:00 ,-0.344995,-0.173999
31-Dec-2005 08:00:00 ,-0.016632,0.162852
31-Dec-2005 09:00:00 ,0.481493,0.674347
31-Dec-2005 10:00:00 ,1.019901,1.226825
31-Dec-2005 11:00:00 ,1.447977,1.671968
31-Dec-2005 12:00:00 ,1.63295,1.87254
31-Dec-2005 13:00:00 ,1.495159,1.713248
31-Dec-2005 14:00:00 ,1.030546,1.183298
31-Dec-2005 15:00:00 ,0.314484,0.414621
31-Dec-2005 16:00:00 ,-0.514288,-0.418872
31-Dec-2005 17:00:00 ,-1.285813,-1.170729
31-Dec-2005 18:00:00 ,-1.839259,-1.708136
31-Dec-2005 19:00:00 ,-2.061446,-1.933546
31-Dec-2005 20:00:00 ,-1.913922,-1.810016
31-Dec-2005 21:00:00 ,-1.441809,-1.360087
31-Dec-2005 22:00:00 ,-0.762172,-0.685367
31-Dec-2005 23:00:00 ,-0.034802,0.059106
01-Jan-2006 00:00:00 ,0.577265,0.723596
01-Jan-2006 01:00:00 ,0.947591,1.1549
01-Jan-2006 02:00:00 ,1.016556,1.230323
01-Jan-2006 03:00:00 ,0.804388,0.975123
01-Jan-2006 04:00:00 ,0.403802,0.547054
01-Jan-2006 05:00:00 ,-0.045802,0.103263
01-Jan-2006 06:00:00 ,-0.395932,-0.234668
01-Jan-2006 07:00:00 ,-0.528758,-0.360813
01-Jan-2006 08:00:00 ,-0.388833,-0.216958
01-Jan-2006 09:00:00 ,0.001394,0.179604
01-Jan-2006 10:00:00 ,0.54632,0.735312
01-Jan-2006 11:00:00 ,1.101087,1.303717
01-Jan-2006 12:00:00 ,1.508635,1.734961
01-Jan-2006 13:00:00 ,1.640534,1.889678
01-Jan-2006 14:00:00 ,1.431194,1.660041
01-Jan-2006 15:00:00 ,0.896672,1.063377
01-Jan-2006 16:00:00 ,0.133148,0.256402
01-Jan-2006 17:00:00 ,-0.704741,-0.581629
01-Jan-2006 18:00:00 ,-1.440429,-1.304738
01-Jan-2006 19:00:00 ,-1.917763,-1.782132
01-Jan-2006 20:00:00 ,-2.038603,-1.923828
01-Jan-2006 21:00:00 ,-1.786287,-1.705324
01-Jan-2006 22:00:00 ,-1.229108,-1.171829
01-Jan-2006 23:00:00 ,-0.502931,-0.448425
02-Jan-2006 00:00:00 ,0.222657,0.304436
02-Jan-2006 01:00:00 ,0.786158,0.936046
02-Jan-2006 02:00:00 ,1.073459,1.288065
02-Jan-2006 03:00:00 ,1.044779,1.25839
02-Jan-2006 04:00:00 ,0.742567,0.915469
02-Jan-2006 05:00:00 ,0.278518,0.437491
02-Jan-2006 06:00:00 ,-0.19689,-0.024577
02-Jan-2006 07:00:00 ,-0.534502,-0.353702
02-Jan-2006 08:00:00 ,-0.625951,-0.446974
02-Jan-2006 09:00:00 ,-0.432427,-0.259016
02-Jan-2006 10:00:00 ,0.004622,0.174097
02-Jan-2006 11:00:00 ,0.573586,0.744524
02-Jan-2006 12:00:00 ,1.121077,1.303644
02-Jan-2006 13:00:00 ,1.491376,1.704409
02-Jan-2006 14:00:00 ,1.566962,1.808221
02-Jan-2006 15:00:00 ,1.299773,1.521861
02-Jan-2006 16:00:00 ,0.725237,0.892341
02-Jan-2006 17:00:00 ,-0.044608,0.091121
02-Jan-2006 18:00:00 ,-0.847267,-0.708091
02-Jan-2006 19:00:00 ,-1.508765,-1.364638
02-Jan-2006 20:00:00 ,-1.885705,-1.753427
02-Jan-2006 21:00:00 ,-1.899938,-1.797962
02-Jan-2006 22:00:00 ,-1.55719,-1.49175
02-Jan-2006 23:00:00 ,-0.945044,-0.900955
03-Jan-2006 00:00:00 ,-0.210827,-0.163408
03-Jan-2006 01:00:00 ,0.474979,0.563449
03-Jan-2006 02:00:00 ,0.960625,1.13033
03-Jan-2006 03:00:00 ,1.149788,1.382612
03-Jan-2006 04:00:00 ,1.023937,1.250379
03-Jan-2006 05:00:00 ,0.644912,0.839775
03-Jan-2006 06:00:00 ,0.13722,0.33198
03-Jan-2006 07:00:00 ,-0.34529,-0.136188
03-Jan-2006 08:00:00 ,-0.659839,-0.452001
03-Jan-2006 09:00:00 ,-0.71191,-0.519379
03-Jan-2006 10:00:00 ,-0.479799,-0.309635
03-Jan-2006 11:00:00 ,-0.020327,0.12781
03-Jan-2006 12:00:00 ,0.545681,0.682229
03-Jan-2006 13:00:00 ,1.064425,1.209867
03-Jan-2006 14:00:00 ,1.388768,1.568354
03-Jan-2006 15:00:00 ,1.416422,1.625291
03-Jan-2006 16:00:00 ,1.11699,1.308818
03-Jan-2006 17:00:00 ,0.541016,0.690529
03-Jan-2006 18:00:00 ,-0.191282,-0.057679
03-Jan-2006 19:00:00 ,-0.918802,-0.776272
03-Jan-2006 20:00:00 ,-1.478669,-1.332938
03-Jan-2006 21:00:00 ,-1.7459,-1.613992
03-Jan-2006 22:00:00 ,-1.663742,-1.562472
03-Jan-2006 23:00:00 ,-1.25715,-1.189642
04-Jan-2006 00:00:00 ,-0.626124,-0.574615
04-Jan-2006 01:00:00 ,0.079321,0.142381
04-Jan-2006 02:00:00 ,0.696242,0.811981
04-Jan-2006 03:00:00 ,1.088581,1.290415
04-Jan-2006 04:00:00 ,1.179814,1.437397
04-Jan-2006 05:00:00 ,0.970358,1.219265
04-Jan-2006 06:00:00 ,0.535575,0.765323
04-Jan-2006 07:00:00 ,0.005069,0.244028
04-Jan-2006 08:00:00 ,-0.471322,-0.22365
04-Jan-2006 09:00:00 ,-0.762183,-0.528884
04-Jan-2006 10:00:00 ,-0.788023,-0.586991
04-Jan-2006 11:00:00 ,-0.541254,-0.384367
04-Jan-2006 12:00:00 ,-0.087681,0.026738
04-Jan-2006 13:00:00 ,0.450724,0.541383
04-Jan-2006 14:00:00 ,0.92732,1.022985
04-Jan-2006 15:00:00 ,1.208534,1.336842
04-Jan-2006 16:00:00 ,1.208291,1.364131
04-Jan-2006 17:00:00 ,0.910458,1.055726
04-Jan-2006 18:00:00 ,0.373696,0.495491
04-Jan-2006 19:00:00 ,-0.282475,-0.157998
04-Jan-2006 20:00:00 ,-0.90686,-0.763665
04-Jan-2006 21:00:00 ,-1.353705,-1.200466
04-Jan-2006 22:00:00 ,-1.518457,-1.372482
04-Jan-2006 23:00:00 ,-1.3633,-1.243434
05-Jan-2006 00:00:00 ,-0.92617,-0.835354
05-Jan-2006 01:00:00 ,-0.311112,-0.230985
05-Jan-2006 02:00:00 ,0.337508,0.434
05-Jan-2006 03:00:00 ,0.870432,1.022388
