Harmonics from: ,wlev_8074_31-Dec-2011_02-Jan-2013.csv,
Mean ,2.859121,
Latitude ,50.042000,
Time_Local , pred_8 , pred_all , pred_noshallow 
31-Dec-2011 00:00:00 , -0.455505, -0.477751, -0.417697
31-Dec-2011 01:00:00 , -0.675502, -0.656831, -0.627965
31-Dec-2011 02:00:00 , -0.814848, -0.738289, -0.764884
31-Dec-2011 03:00:00 , -0.817629, -0.703787, -0.771017
31-Dec-2011 04:00:00 , -0.657623, -0.573571, -0.617015
31-Dec-2011 05:00:00 , -0.346414, -0.333750, -0.310960
31-Dec-2011 06:00:00 , 0.067764, 0.067954, 0.101313
31-Dec-2011 07:00:00 , 0.510196, 0.556633, 0.545327
31-Dec-2011 08:00:00 , 0.896388, 0.981806, 0.934516
31-Dec-2011 09:00:00 , 1.151233, 1.273095, 1.190240
31-Dec-2011 10:00:00 , 1.226017, 1.347134, 1.260258
31-Dec-2011 11:00:00 , 1.109176, 1.135654, 1.130957
31-Dec-2011 12:00:00 , 0.828320, 0.758388, 0.830218
31-Dec-2011 13:00:00 , 0.443166, 0.356276, 0.420267
31-Dec-2011 14:00:00 , 0.031221, -0.054041, -0.017479
31-Dec-2011 15:00:00 , -0.330200, -0.401392, -0.401573
31-Dec-2011 16:00:00 , -0.581248, -0.606445, -0.668783
31-Dec-2011 17:00:00 , -0.691979, -0.736642, -0.786996
31-Dec-2011 18:00:00 , -0.667108, -0.807224, -0.759945
31-Dec-2011 19:00:00 , -0.542185, -0.716327, -0.623133
31-Dec-2011 20:00:00 , -0.372396, -0.488172, -0.432496
31-Dec-2011 21:00:00 , -0.216996, -0.256309, -0.248963
31-Dec-2011 22:00:00 , -0.123400, -0.101046, -0.122785
31-Dec-2011 23:00:00 , -0.114925, -0.067927, -0.081323
01-Jan-2012 00:00:00 , -0.185224, -0.146021, -0.123002
01-Jan-2012 01:00:00 , -0.300692, -0.246641, -0.218677
01-Jan-2012 02:00:00 , -0.410131, -0.314373, -0.319981
01-Jan-2012 03:00:00 , -0.459124, -0.333558, -0.372669
01-Jan-2012 04:00:00 , -0.405426, -0.278052, -0.331789
01-Jan-2012 05:00:00 , -0.231432, -0.143818, -0.174985
01-Jan-2012 06:00:00 , 0.049453, 0.084235, 0.089493
01-Jan-2012 07:00:00 , 0.394211, 0.420962, 0.422356
01-Jan-2012 08:00:00 , 0.739097, 0.781578, 0.760885
01-Jan-2012 09:00:00 , 1.013890, 1.066675, 1.033002
01-Jan-2012 10:00:00 , 1.158088, 1.233885, 1.174410
01-Jan-2012 11:00:00 , 1.135122, 1.192020, 1.144487
01-Jan-2012 12:00:00 , 0.941179, 0.902188, 0.936781
01-Jan-2012 13:00:00 , 0.606526, 0.500708, 0.581372
01-Jan-2012 14:00:00 , 0.189036, 0.081115, 0.138470
01-Jan-2012 15:00:00 , -0.238494, -0.356078, -0.315047
01-Jan-2012 16:00:00 , -0.604206, -0.709620, -0.702678
01-Jan-2012 17:00:00 , -0.852442, -0.909590, -0.964653
01-Jan-2012 18:00:00 , -0.954845, -1.035533, -1.069710
01-Jan-2012 19:00:00 , -0.914799, -1.074493, -1.019787
