Harmonics from: ,wlev_7277_31-Dec-2011_02-Jan-2013.csv,
Mean ,2.316793,
Latitude ,48.653600,
Time_Local , pred_8 , pred_all , pred_noshallow 
31-Dec-2011 00:00:00 , -0.433789, -0.413923, -0.404807
31-Dec-2011 01:00:00 , -0.597108, -0.582576, -0.565966
31-Dec-2011 02:00:00 , -0.690273, -0.679725, -0.660162
31-Dec-2011 03:00:00 , -0.669199, -0.646834, -0.640336
31-Dec-2011 04:00:00 , -0.514500, -0.471529, -0.484546
31-Dec-2011 05:00:00 , -0.237896, -0.173691, -0.203164
31-Dec-2011 06:00:00 , 0.119006, 0.195812, 0.161890
31-Dec-2011 07:00:00 , 0.493322, 0.568481, 0.545752
31-Dec-2011 08:00:00 , 0.814804, 0.890846, 0.874995
31-Dec-2011 09:00:00 , 1.021671, 1.110155, 1.084280
31-Dec-2011 10:00:00 , 1.074550, 1.162661, 1.131267
31-Dec-2011 11:00:00 , 0.965172, 1.023656, 1.006211
31-Dec-2011 12:00:00 , 0.717813, 0.731471, 0.733967
31-Dec-2011 13:00:00 , 0.383219, 0.352949, 0.368023
31-Dec-2011 14:00:00 , 0.026606, -0.040899, -0.021922
31-Dec-2011 15:00:00 , -0.287292, -0.385137, -0.365761
31-Dec-2011 16:00:00 , -0.508497, -0.629431, -0.608353
31-Dec-2011 17:00:00 , -0.611968, -0.738987, -0.720813
31-Dec-2011 18:00:00 , -0.601394, -0.713369, -0.705142
31-Dec-2011 19:00:00 , -0.505888, -0.595880, -0.591303
31-Dec-2011 20:00:00 , -0.370627, -0.438328, -0.427693
31-Dec-2011 21:00:00 , -0.243977, -0.282879, -0.267577
31-Dec-2011 22:00:00 , -0.164426, -0.171248, -0.154970
31-Dec-2011 23:00:00 , -0.150629, -0.125730, -0.113523
01-Jan-2012 00:00:00 , -0.197029, -0.141137, -0.141124
01-Jan-2012 01:00:00 , -0.276069, -0.204406, -0.211498
01-Jan-2012 02:00:00 , -0.346322, -0.280523, -0.282235
01-Jan-2012 03:00:00 , -0.364396, -0.306962, -0.307151
01-Jan-2012 04:00:00 , -0.297528, -0.240289, -0.249748
01-Jan-2012 05:00:00 , -0.133621, -0.074079, -0.094313
01-Jan-2012 06:00:00 , 0.113862, 0.176948, 0.148192
01-Jan-2012 07:00:00 , 0.407454, 0.470422, 0.441018
01-Jan-2012 08:00:00 , 0.693362, 0.749310, 0.729145
01-Jan-2012 09:00:00 , 0.913463, 0.968850, 0.951648
01-Jan-2012 10:00:00 , 1.018706, 1.078900, 1.055932
01-Jan-2012 11:00:00 , 0.980696, 1.026126, 1.010381
01-Jan-2012 12:00:00 , 0.798651, 0.805480, 0.812358
01-Jan-2012 13:00:00 , 0.500073, 0.464464, 0.489610
