Harmonics from: ,wlev_7795_31-Dec-2011_02-Jan-2013.csv,
Mean ,3.127560,
Latitude ,49.337000,
Time_Local , pred_8 , pred_all , pred_noshallow 
31-Dec-2011 00:00:00 , -0.273421, -0.250875, -0.233870
31-Dec-2011 01:00:00 , -0.562152, -0.532926, -0.518544
31-Dec-2011 02:00:00 , -0.807836, -0.774697, -0.764081
31-Dec-2011 03:00:00 , -0.927228, -0.888186, -0.884577
31-Dec-2011 04:00:00 , -0.863941, -0.808958, -0.820929
31-Dec-2011 05:00:00 , -0.604192, -0.525916, -0.557595
31-Dec-2011 06:00:00 , -0.182001, -0.089891, -0.128640
31-Dec-2011 07:00:00 , 0.327469, 0.424593, 0.388630
31-Dec-2011 08:00:00 , 0.824789, 0.929631, 0.891030
31-Dec-2011 09:00:00 , 1.209211, 1.312382, 1.273609
31-Dec-2011 10:00:00 , 1.402035, 1.478260, 1.454498
31-Dec-2011 11:00:00 , 1.364731, 1.396855, 1.394286
31-Dec-2011 12:00:00 , 1.107469, 1.093880, 1.105092
31-Dec-2011 13:00:00 , 0.686100, 0.635349, 0.647216
31-Dec-2011 14:00:00 , 0.188503, 0.109849, 0.114381
31-Dec-2011 15:00:00 , -0.286247, -0.395483, -0.388537
31-Dec-2011 16:00:00 , -0.650732, -0.792141, -0.769649
31-Dec-2011 17:00:00 , -0.848497, -1.002028, -0.970154
31-Dec-2011 18:00:00 , -0.865259, -1.004596, -0.975720
31-Dec-2011 19:00:00 , -0.729510, -0.840078, -0.816781
31-Dec-2011 20:00:00 , -0.502689, -0.575164, -0.558160
31-Dec-2011 21:00:00 , -0.261651, -0.292989, -0.280969
31-Dec-2011 22:00:00 , -0.078009, -0.073447, -0.061413
31-Dec-2011 23:00:00 , 0.000398, 0.038268, 0.048267
01-Jan-2012 00:00:00 , -0.038699, 0.027838, 0.032194
01-Jan-2012 01:00:00 , -0.169794, -0.088768, -0.086294
01-Jan-2012 02:00:00 , -0.337371, -0.251864, -0.251878
01-Jan-2012 03:00:00 , -0.471543, -0.383879, -0.392744
01-Jan-2012 04:00:00 , -0.507476, -0.420930, -0.440445
01-Jan-2012 05:00:00 , -0.403635, -0.318239, -0.349166
01-Jan-2012 06:00:00 , -0.154197, -0.069685, -0.109494
01-Jan-2012 07:00:00 , 0.207534, 0.284566, 0.246944
01-Jan-2012 08:00:00 , 0.615598, 0.684556, 0.653350
