Harmonics from: ,wlev_7120_31-Dec-2005_02-Jan-2007.csv,
Mean ,1.913085,
Latitude ,48.424666,
Time_Local , pred_8 , pred_all , pred_noshallow 
31-Dec-2005 00:00:00 , -1.038676, -1.018299, -1.059579
31-Dec-2005 01:00:00 , -0.565868, -0.541118, -0.576832
31-Dec-2005 02:00:00 , -0.111112, -0.073667, -0.112025
31-Dec-2005 03:00:00 , 0.267962, 0.284152, 0.277995
31-Dec-2005 04:00:00 , 0.539524, 0.502536, 0.561095
31-Dec-2005 05:00:00 , 0.701538, 0.654258, 0.733839
31-Dec-2005 06:00:00 , 0.778040, 0.788120, 0.818506
31-Dec-2005 07:00:00 , 0.808904, 0.873875, 0.853878
31-Dec-2005 08:00:00 , 0.835935, 0.902032, 0.882026
31-Dec-2005 09:00:00 , 0.889053, 0.942942, 0.934409
31-Dec-2005 10:00:00 , 0.976290, 1.051613, 1.020989
31-Dec-2005 11:00:00 , 1.080301, 1.172941, 1.125538
31-Dec-2005 12:00:00 , 1.162375, 1.213018, 1.208796
31-Dec-2005 13:00:00 , 1.173002, 1.159413, 1.219046
31-Dec-2005 14:00:00 , 1.066246, 1.041846, 1.107445
31-Dec-2005 15:00:00 , 0.814210, 0.827873, 0.843950
31-Dec-2005 16:00:00 , 0.417705, 0.465462, 0.429232
31-Dec-2005 17:00:00 , -0.089790, -0.023733, -0.100980
31-Dec-2005 18:00:00 , -0.646204, -0.580097, -0.680648
31-Dec-2005 19:00:00 , -1.172217, -1.162535, -1.226213
31-Dec-2005 20:00:00 , -1.587334, -1.692786, -1.654157
31-Dec-2005 21:00:00 , -1.826858, -2.018011, -1.898842
31-Dec-2005 22:00:00 , -1.855710, -2.021512, -1.926209
31-Dec-2005 23:00:00 , -1.675732, -1.746842, -1.740161
01-Jan-2006 00:00:00 , -1.324736, -1.338702, -1.380431
01-Jan-2006 01:00:00 , -0.867542, -0.880233, -0.912843
01-Jan-2006 02:00:00 , -0.381223, -0.384945, -0.414544
01-Jan-2006 03:00:00 , 0.061824, 0.076877, 0.042279
01-Jan-2006 04:00:00 , 0.408866, 0.396428, 0.404565
01-Jan-2006 05:00:00 , 0.636324, 0.574770, 0.647429
01-Jan-2006 06:00:00 , 0.751583, 0.707160, 0.776270
01-Jan-2006 07:00:00 , 0.786952, 0.821918, 0.821620
01-Jan-2006 08:00:00 , 0.787558, 0.868317, 0.828012
01-Jan-2006 09:00:00 , 0.796490, 0.858127, 0.839577
01-Jan-2006 10:00:00 , 0.841159, 0.890774, 0.885984
01-Jan-2006 11:00:00 , 0.924525, 1.008312, 0.972486
01-Jan-2006 12:00:00 , 1.023495, 1.123919, 1.076961
01-Jan-2006 13:00:00 , 1.094976, 1.147842, 1.155138
01-Jan-2006 14:00:00 , 1.088018, 1.092299, 1.152934
01-Jan-2006 15:00:00 , 0.958900, 0.978308, 1.022744
01-Jan-2006 16:00:00 , 0.685199, 0.745524, 0.739194
01-Jan-2006 17:00:00 , 0.275069, 0.348161, 0.309808
01-Jan-2006 18:00:00 , -0.230825, -0.160729, -0.222619
01-Jan-2006 19:00:00 , -0.765500, -0.710475, -0.786896
01-Jan-2006 20:00:00 , -1.248643, -1.265578, -1.297884
01-Jan-2006 21:00:00 , -1.603394, -1.740959, -1.674791
01-Jan-2006 22:00:00 , -1.772893, -1.979288, -1.858630
01-Jan-2006 23:00:00 , -1.732594, -1.893763, -1.824540
02-Jan-2006 00:00:00 , -1.495384, -1.569335, -1.586180
02-Jan-2006 01:00:00 , -1.108262, -1.150460, -1.191520
02-Jan-2006 02:00:00 , -0.641436, -0.688810, -0.711426
02-Jan-2006 03:00:00 , -0.172513, -0.195990, -0.224006
02-Jan-2006 04:00:00 , 0.230345, 0.232312, 0.201625
02-Jan-2006 05:00:00 , 0.522253, 0.495658, 0.518584
02-Jan-2006 06:00:00 , 0.689138, 0.634018, 0.709730
02-Jan-2006 07:00:00 , 0.747367, 0.746077, 0.787996
02-Jan-2006 08:00:00 , 0.735806, 0.825100, 0.789654
02-Jan-2006 09:00:00 , 0.702581, 0.813018, 0.762167
02-Jan-2006 10:00:00 , 0.690112, 0.757380, 0.749573
02-Jan-2006 11:00:00 , 0.722359, 0.776789, 0.779053
02-Jan-2006 12:00:00 , 0.797631, 0.887705, 0.852273
02-Jan-2006 13:00:00 , 0.888811, 0.982871, 0.944000
02-Jan-2006 14:00:00 , 0.950935, 0.991842, 1.008727
02-Jan-2006 15:00:00 , 0.934146, 0.942243, 0.993778
02-Jan-2006 16:00:00 , 0.798614, 0.832536, 0.855474
02-Jan-2006 17:00:00 , 0.527528, 0.586446, 0.573849
02-Jan-2006 18:00:00 , 0.134665, 0.183873, 0.161658
02-Jan-2006 19:00:00 , -0.335563, -0.296655, -0.335059
02-Jan-2006 20:00:00 , -0.815807, -0.793006, -0.845253
02-Jan-2006 21:00:00 , -1.229507, -1.280652, -1.287873
02-Jan-2006 22:00:00 , -1.507375, -1.667066, -1.589690
02-Jan-2006 23:00:00 , -1.602661, -1.803313, -1.701354
03-Jan-2006 00:00:00 , -1.501508, -1.643222, -1.607781
03-Jan-2006 01:00:00 , -1.225881, -1.297741, -1.330564
03-Jan-2006 02:00:00 , -0.828383, -0.888232, -0.922255
03-Jan-2006 03:00:00 , -0.380255, -0.438014, -0.454257
03-Jan-2006 04:00:00 , 0.044498, 0.027843, -0.001384
03-Jan-2006 05:00:00 , 0.385009, 0.396477, 0.373342
03-Jan-2006 06:00:00 , 0.605664, 0.595390, 0.630425
