Harmonics from: ,../wlev_8545_31-Dec-2008_02-Jan-2010.csv,
Mean ,1.965726,
Latitude ,48.836000,
Time_Local , pred_8 , pred_all ,
31-Dec-2008 00:00:00 , -0.106337, -0.073232,
31-Dec-2008 01:00:00 , 0.392867, 0.419235,
31-Dec-2008 02:00:00 , 0.729131, 0.733540,
31-Dec-2008 03:00:00 , 0.840616, 0.823359,
31-Dec-2008 04:00:00 , 0.725079, 0.697347,
31-Dec-2008 05:00:00 , 0.438582, 0.404606,
31-Dec-2008 06:00:00 , 0.079332, 0.035732,
31-Dec-2008 07:00:00 , -0.239073, -0.287123,
31-Dec-2008 08:00:00 , -0.418041, -0.454017,
31-Dec-2008 09:00:00 , -0.400178, -0.412876,
31-Dec-2008 10:00:00 , -0.184537, -0.176810,
31-Dec-2008 11:00:00 , 0.172983, 0.194629,
31-Dec-2008 12:00:00 , 0.574144, 0.607271,
31-Dec-2008 13:00:00 , 0.904059, 0.943248,
31-Dec-2008 14:00:00 , 1.061424, 1.094239,
31-Dec-2008 15:00:00 , 0.985518, 1.002237,
31-Dec-2008 16:00:00 , 0.673030, 0.673531,
31-Dec-2008 17:00:00 , 0.180335, 0.167547,
31-Dec-2008 18:00:00 , -0.389407, -0.414222,
31-Dec-2008 19:00:00 , -0.911113, -0.941651,
31-Dec-2008 20:00:00 , -1.268343, -1.290806,
31-Dec-2008 21:00:00 , -1.381861, -1.386289,
31-Dec-2008 22:00:00 , -1.228997, -1.217195,
31-Dec-2008 23:00:00 , -0.848967, -0.827138,
01-Jan-2009 00:00:00 , -0.332859, -0.305045,
01-Jan-2009 01:00:00 , 0.199144, 0.224658,
01-Jan-2009 02:00:00 , 0.627492, 0.635743,
01-Jan-2009 03:00:00 , 0.862465, 0.846126,
01-Jan-2009 04:00:00 , 0.865493, 0.835370,
01-Jan-2009 05:00:00 , 0.657329, 0.629539,
01-Jan-2009 06:00:00 , 0.311141, 0.290046,
01-Jan-2009 07:00:00 , -0.067548, -0.084198,
01-Jan-2009 08:00:00 , -0.368856, -0.374881,
01-Jan-2009 09:00:00 , -0.507270, -0.491565,
01-Jan-2009 10:00:00 , -0.443751, -0.406491,
01-Jan-2009 11:00:00 , -0.195639, -0.149270,
01-Jan-2009 12:00:00 , 0.168121, 0.212946,
01-Jan-2009 13:00:00 , 0.545135, 0.583851,
01-Jan-2009 14:00:00 , 0.826386, 0.851864,
01-Jan-2009 15:00:00 , 0.924868, 0.926660,
01-Jan-2009 16:00:00 , 0.798668, 0.773621,
01-Jan-2009 17:00:00 , 0.462631, 0.417880,
01-Jan-2009 18:00:00 , -0.014395, -0.069881,
01-Jan-2009 19:00:00 , -0.526039, -0.584270,
01-Jan-2009 20:00:00 , -0.954459, -1.002767,
01-Jan-2009 21:00:00 , -1.199415, -1.223104,
01-Jan-2009 22:00:00 , -1.203034, -1.197825,
01-Jan-2009 23:00:00 , -0.964082, -0.938969,
02-Jan-2009 00:00:00 , -0.538202, -0.504821,
02-Jan-2009 01:00:00 , -0.024107, 0.008284,
02-Jan-2009 02:00:00 , 0.460740, 0.479783,
02-Jan-2009 03:00:00 , 0.808844, 0.801891,
02-Jan-2009 04:00:00 , 0.948596, 0.917356,
02-Jan-2009 05:00:00 , 0.860973, 0.824165,
02-Jan-2009 06:00:00 , 0.582945, 0.558280,
02-Jan-2009 07:00:00 , 0.196896, 0.188359,
02-Jan-2009 08:00:00 , -0.191125, -0.183533,
02-Jan-2009 09:00:00 , -0.478729, -0.448028,
02-Jan-2009 10:00:00 , -0.593165, -0.534421,
02-Jan-2009 11:00:00 , -0.509395, -0.432764,
02-Jan-2009 12:00:00 , -0.255810, -0.180470,
02-Jan-2009 13:00:00 , 0.093761, 0.154361,
02-Jan-2009 14:00:00 , 0.439594, 0.478412,
02-Jan-2009 15:00:00 , 0.682138, 0.690481,
02-Jan-2009 16:00:00 , 0.747952, 0.718258,
02-Jan-2009 17:00:00 , 0.608941, 0.544649,
02-Jan-2009 18:00:00 , 0.290052, 0.204871,
02-Jan-2009 19:00:00 , -0.136498, -0.227417,
02-Jan-2009 20:00:00 , -0.568970, -0.650643,
02-Jan-2009 21:00:00 , -0.901352, -0.956366,
02-Jan-2009 22:00:00 , -1.049767, -1.065304,
02-Jan-2009 23:00:00 , -0.973441, -0.952066,
03-Jan-2009 00:00:00 , -0.685012, -0.642157,
03-Jan-2009 01:00:00 , -0.247664, -0.199796,
03-Jan-2009 02:00:00 , 0.240162, 0.278816,
03-Jan-2009 03:00:00 , 0.668636, 0.683011,
03-Jan-2009 04:00:00 , 0.943031, 0.924204,
03-Jan-2009 05:00:00 , 1.006306, 0.963446,
03-Jan-2009 06:00:00 , 0.852246, 0.807915,
03-Jan-2009 07:00:00 , 0.526017, 0.497297,
03-Jan-2009 08:00:00 , 0.112157, 0.104133,
03-Jan-2009 09:00:00 , -0.286894, -0.269727,
03-Jan-2009 10:00:00 , -0.576301, -0.525380,
03-Jan-2009 11:00:00 , -0.692011, -0.607469,
03-Jan-2009 12:00:00 , -0.615891, -0.514878,
03-Jan-2009 13:00:00 , -0.379173, -0.284791,
03-Jan-2009 14:00:00 , -0.053502, 0.018477,
