Harmonics from: ,../wlev_8408_31-Dec-2005_02-Jan-2007.csv,
Mean ,2.890996,
Latitude ,50.722000,
Time_Local , pred_8 , pred_all ,
31-Dec-2005 00:00:00 , 0.875031, 0.943016,
31-Dec-2005 01:00:00 , 1.241116, 1.333769,
31-Dec-2005 02:00:00 , 1.217058, 1.310467,
31-Dec-2005 03:00:00 , 0.857856, 0.915074,
31-Dec-2005 04:00:00 , 0.305500, 0.291108,
31-Dec-2005 05:00:00 , -0.249913, -0.330978,
31-Dec-2005 06:00:00 , -0.621403, -0.716163,
31-Dec-2005 07:00:00 , -0.675519, -0.728482,
31-Dec-2005 08:00:00 , -0.368962, -0.358652,
31-Dec-2005 09:00:00 , 0.238125, 0.305701,
31-Dec-2005 10:00:00 , 0.995823, 1.101575,
31-Dec-2005 11:00:00 , 1.701808, 1.817604,
31-Dec-2005 12:00:00 , 2.153101, 2.247976,
31-Dec-2005 13:00:00 , 2.199075, 2.251720,
31-Dec-2005 14:00:00 , 1.782202, 1.792877,
31-Dec-2005 15:00:00 , 0.955969, 0.941608,
31-Dec-2005 16:00:00 , -0.124877, -0.151961,
31-Dec-2005 17:00:00 , -1.239640, -1.278565,
31-Dec-2005 18:00:00 , -2.153928, -2.206119,
31-Dec-2005 19:00:00 , -2.675901, -2.747160,
31-Dec-2005 20:00:00 , -2.702471, -2.801004,
31-Dec-2005 21:00:00 , -2.243848, -2.357931,
31-Dec-2005 22:00:00 , -1.420259, -1.513704,
31-Dec-2005 23:00:00 , -0.431599, -0.472313,
01-Jan-2006 00:00:00 , 0.492359, 0.511040,
01-Jan-2006 01:00:00 , 1.148709, 1.213590,
01-Jan-2006 02:00:00 , 1.410827, 1.501549,
01-Jan-2006 03:00:00 , 1.258065, 1.347120,
01-Jan-2006 04:00:00 , 0.778267, 0.825381,
01-Jan-2006 05:00:00 , 0.142611, 0.115740,
01-Jan-2006 06:00:00 , -0.440752, -0.525739,
01-Jan-2006 07:00:00 , -0.782361, -0.867586,
01-Jan-2006 08:00:00 , -0.762127, -0.802081,
01-Jan-2006 09:00:00 , -0.362020, -0.349232,
01-Jan-2006 10:00:00 , 0.327717, 0.383993,
01-Jan-2006 11:00:00 , 1.130551, 1.219760,
01-Jan-2006 12:00:00 , 1.828388, 1.933116,
01-Jan-2006 13:00:00 , 2.217743, 2.312960,
01-Jan-2006 14:00:00 , 2.163078, 2.230415,
01-Jan-2006 15:00:00 , 1.633678, 1.674636,
01-Jan-2006 16:00:00 , 0.714513, 0.739558,
01-Jan-2006 17:00:00 , -0.411890, -0.405168,
01-Jan-2006 18:00:00 , -1.508254, -1.530883,
01-Jan-2006 19:00:00 , -2.339440, -2.395205,
01-Jan-2006 20:00:00 , -2.729247, -2.820053,
01-Jan-2006 21:00:00 , -2.602902, -2.729259,
01-Jan-2006 22:00:00 , -2.004622, -2.144767,
01-Jan-2006 23:00:00 , -1.085837, -1.196724,
02-Jan-2006 00:00:00 , -0.067094, -0.116734,
02-Jan-2006 01:00:00 , 0.816790, 0.830902,
02-Jan-2006 02:00:00 , 1.374502, 1.436859,
02-Jan-2006 03:00:00 , 1.504441, 1.596046,
02-Jan-2006 04:00:00 , 1.217814, 1.311819,
02-Jan-2006 05:00:00 , 0.632934, 0.688057,
02-Jan-2006 06:00:00 , -0.057647, -0.069761,
02-Jan-2006 07:00:00 , -0.638668, -0.696379,
02-Jan-2006 08:00:00 , -0.929145, -0.981013,
02-Jan-2006 09:00:00 , -0.830230, -0.850071,
02-Jan-2006 10:00:00 , -0.351717, -0.345276,
02-Jan-2006 11:00:00 , 0.389601, 0.418067,
02-Jan-2006 12:00:00 , 1.199334, 1.254337,
02-Jan-2006 13:00:00 , 1.855230, 1.931093,
02-Jan-2006 14:00:00 , 2.164595, 2.241567,
02-Jan-2006 15:00:00 , 2.014807, 2.077812,
02-Jan-2006 16:00:00 , 1.404035, 1.454754,
02-Jan-2006 17:00:00 , 0.444259, 0.484478,
02-Jan-2006 18:00:00 , -0.664312, -0.649527,
02-Jan-2006 19:00:00 , -1.681120, -1.707220,
02-Jan-2006 20:00:00 , -2.383488, -2.450447,
02-Jan-2006 21:00:00 , -2.620651, -2.725677,
02-Jan-2006 22:00:00 , -2.350094, -2.488583,
02-Jan-2006 23:00:00 , -1.647141, -1.791703,
03-Jan-2006 00:00:00 , -0.685501, -0.792590,
03-Jan-2006 01:00:00 , 0.306283, 0.262762,
03-Jan-2006 02:00:00 , 1.101450, 1.119205,
03-Jan-2006 03:00:00 , 1.530504, 1.596655,
03-Jan-2006 04:00:00 , 1.521674, 1.623883,
03-Jan-2006 05:00:00 , 1.116343, 1.230486,
03-Jan-2006 06:00:00 , 0.455783, 0.540232,
03-Jan-2006 07:00:00 , -0.257202, -0.228133,
03-Jan-2006 08:00:00 , -0.811828, -0.817734,
03-Jan-2006 09:00:00 , -1.044376, -1.050747,
03-Jan-2006 10:00:00 , -0.880748, -0.884273,
03-Jan-2006 11:00:00 , -0.355755, -0.368799,
03-Jan-2006 12:00:00 , 0.395694, 0.381478,
03-Jan-2006 13:00:00 , 1.173175, 1.178123,
03-Jan-2006 14:00:00 , 1.762292, 1.789224,
03-Jan-2006 15:00:00 , 1.990057, 2.023512,
03-Jan-2006 16:00:00 , 1.770048, 1.799510,
03-Jan-2006 17:00:00 , 1.125914, 1.153950,
03-Jan-2006 18:00:00 , 0.187231, 0.209660,
03-Jan-2006 19:00:00 , -0.841251, -0.843833,
03-Jan-2006 20:00:00 , -1.729293, -1.768333,
