Harmonics from: ,wlev_8408_31-Dec-2008_02-Jan-2010.csv,
Mean ,2.853732,
Latitude ,50.722000,
Time_Local , pred_8 , pred_all ,
31-Dec-2008 00:00:00 , -0.544617, -0.522431,
31-Dec-2008 01:00:00 , 0.250118, 0.275848,
31-Dec-2008 02:00:00 , 0.894205, 0.911395,
31-Dec-2008 03:00:00 , 1.252872, 1.257815,
31-Dec-2008 04:00:00 , 1.267749, 1.265507,
31-Dec-2008 05:00:00 , 0.969379, 0.958114,
31-Dec-2008 06:00:00 , 0.466973, 0.432914,
31-Dec-2008 07:00:00 , -0.081779, -0.143291,
31-Dec-2008 08:00:00 , -0.512948, -0.575913,
31-Dec-2008 09:00:00 , -0.699707, -0.730915,
31-Dec-2008 10:00:00 , -0.585634, -0.583111,
31-Dec-2008 11:00:00 , -0.199418, -0.180188,
31-Dec-2008 12:00:00 , 0.352729, 0.384380,
31-Dec-2008 13:00:00 , 0.914957, 0.959273,
31-Dec-2008 14:00:00 , 1.322746, 1.365303,
31-Dec-2008 15:00:00 , 1.446377, 1.465601,
31-Dec-2008 16:00:00 , 1.225715, 1.209503,
31-Dec-2008 17:00:00 , 0.687353, 0.640932,
31-Dec-2008 18:00:00 , -0.060356, -0.118918,
31-Dec-2008 19:00:00 , -0.853151, -0.904036,
31-Dec-2008 20:00:00 , -1.511105, -1.536035,
31-Dec-2008 21:00:00 , -1.883052, -1.871633,
31-Dec-2008 22:00:00 , -1.883982, -1.847997,
31-Dec-2008 23:00:00 , -1.515968, -1.477894,
01-Jan-2009 00:00:00 , -0.867396, -0.833762,
01-Jan-2009 01:00:00 , -0.090756, -0.060714,
01-Jan-2009 02:00:00 , 0.635305, 0.649855,
01-Jan-2009 03:00:00 , 1.150054, 1.139333,
01-Jan-2009 04:00:00 , 1.349732, 1.324532,
01-Jan-2009 05:00:00 , 1.211828, 1.190629,
01-Jan-2009 06:00:00 , 0.798599, 0.786865,
01-Jan-2009 07:00:00 , 0.239165, 0.229609,
01-Jan-2009 08:00:00 , -0.305065, -0.311085,
01-Jan-2009 09:00:00 , -0.682677, -0.665941,
01-Jan-2009 10:00:00 , -0.791399, -0.743301,
01-Jan-2009 11:00:00 , -0.604172, -0.546070,
01-Jan-2009 12:00:00 , -0.175556, -0.128668,
01-Jan-2009 13:00:00 , 0.373013, 0.410716,
01-Jan-2009 14:00:00 , 0.885243, 0.916470,
01-Jan-2009 15:00:00 , 1.210990, 1.221689,
01-Jan-2009 16:00:00 , 1.245744, 1.218358,
01-Jan-2009 17:00:00 , 0.958477, 0.887516,
01-Jan-2009 18:00:00 , 0.400772, 0.298534,
01-Jan-2009 19:00:00 , -0.305090, -0.412707,
01-Jan-2009 20:00:00 , -0.996067, -1.080448,
01-Jan-2009 21:00:00 , -1.508720, -1.545985,
01-Jan-2009 22:00:00 , -1.719824, -1.702480,
01-Jan-2009 23:00:00 , -1.577000, -1.524064,
02-Jan-2009 00:00:00 , -1.111710, -1.050151,
02-Jan-2009 01:00:00 , -0.431420, -0.374573,
02-Jan-2009 02:00:00 , 0.307001, 0.346734,
02-Jan-2009 03:00:00 , 0.935891, 0.939176,
02-Jan-2009 04:00:00 , 1.317696, 1.282456,
02-Jan-2009 05:00:00 , 1.377940, 1.328620,
02-Jan-2009 06:00:00 , 1.122119, 1.086171,
02-Jan-2009 07:00:00 , 0.632488, 0.620998,
02-Jan-2009 08:00:00 , 0.045770, 0.057907,
02-Jan-2009 09:00:00 , -0.482380, -0.442536,
02-Jan-2009 10:00:00 , -0.817078, -0.740956,
02-Jan-2009 11:00:00 , -0.878043, -0.777604,
02-Jan-2009 12:00:00 , -0.659094, -0.567715,
02-Jan-2009 13:00:00 , -0.228553, -0.164365,
02-Jan-2009 14:00:00 , 0.289354, 0.332810,
02-Jan-2009 15:00:00 , 0.747208, 0.770354,
02-Jan-2009 16:00:00 , 1.012827, 0.998979,
02-Jan-2009 17:00:00 , 1.003624, 0.936906,
02-Jan-2009 18:00:00 , 0.708230, 0.588838,
02-Jan-2009 19:00:00 , 0.189954, 0.039684,
02-Jan-2009 20:00:00 , -0.428703, -0.573101,
02-Jan-2009 21:00:00 , -0.996529, -1.098718,
02-Jan-2009 22:00:00 , -1.371366, -1.406275,
02-Jan-2009 23:00:00 , -1.455671, -1.420888,
03-Jan-2009 00:00:00 , -1.220996, -1.141356,
03-Jan-2009 01:00:00 , -0.715332, -0.622338,
03-Jan-2009 02:00:00 , -0.051560, 0.032135,
03-Jan-2009 03:00:00 , 0.620011, 0.669716,
03-Jan-2009 04:00:00 , 1.148140, 1.141832,
03-Jan-2009 05:00:00 , 1.417084, 1.361082,
03-Jan-2009 06:00:00 , 1.374011, 1.301113,
03-Jan-2009 07:00:00 , 1.040699, 0.982968,
03-Jan-2009 08:00:00 , 0.506853, 0.480997,
03-Jan-2009 09:00:00 , -0.093107, -0.080927,
03-Jan-2009 10:00:00 , -0.613825, -0.557597,
03-Jan-2009 11:00:00 , -0.934879, -0.834050,
03-Jan-2009 12:00:00 , -0.989838, -0.867671,
03-Jan-2009 13:00:00 , -0.781395, -0.673640,
03-Jan-2009 14:00:00 , -0.379034, -0.299163,
03-Jan-2009 15:00:00 , 0.099964, 0.157668,
03-Jan-2009 16:00:00 , 0.521212, 0.549788,
03-Jan-2009 17:00:00 , 0.767820, 0.744837,
03-Jan-2009 18:00:00 , 0.770210, 0.679778,
03-Jan-2009 19:00:00 , 0.523733, 0.372776,
03-Jan-2009 20:00:00 , 0.089805, -0.088190,
03-Jan-2009 21:00:00 , -0.419641, -0.578403,
03-Jan-2009 22:00:00 , -0.870378, -0.970973,
03-Jan-2009 23:00:00 , -1.139724, -1.159576,
04-Jan-2009 00:00:00 , -1.147541, -1.088194,
