Harmonics from: ,wlev_8615_31-Dec-2008_02-Jan-2010.csv,
Mean ,2.062378,
Latitude ,49.154000,
Time_Local , pred_8 , pred_all ,
31-Dec-2008 00:00:00 , -0.161085, -0.153398,
31-Dec-2008 01:00:00 , 0.393950, 0.394703,
31-Dec-2008 02:00:00 , 0.793404, 0.802643,
31-Dec-2008 03:00:00 , 0.959866, 0.975864,
31-Dec-2008 04:00:00 , 0.877071, 0.860447,
31-Dec-2008 05:00:00 , 0.592194, 0.529351,
31-Dec-2008 06:00:00 , 0.202001, 0.131267,
31-Dec-2008 07:00:00 , -0.173474, -0.222821,
31-Dec-2008 08:00:00 , -0.422866, -0.450716,
31-Dec-2008 09:00:00 , -0.472819, -0.478186,
31-Dec-2008 10:00:00 , -0.307164, -0.289821,
31-Dec-2008 11:00:00 , 0.028929, 0.060725,
31-Dec-2008 12:00:00 , 0.440870, 0.480834,
31-Dec-2008 13:00:00 , 0.809533, 0.854845,
31-Dec-2008 14:00:00 , 1.022676, 1.070917,
31-Dec-2008 15:00:00 , 1.004806, 1.043495,
31-Dec-2008 16:00:00 , 0.737801, 0.738106,
31-Dec-2008 17:00:00 , 0.266961, 0.219736,
31-Dec-2008 18:00:00 , -0.309120, -0.369516,
31-Dec-2008 19:00:00 , -0.862340, -0.900525,
31-Dec-2008 20:00:00 , -1.266534, -1.276143,
31-Dec-2008 21:00:00 , -1.428644, -1.414641,
31-Dec-2008 22:00:00 , -1.311733, -1.284049,
31-Dec-2008 23:00:00 , -0.944072, -0.916696,
01-Jan-2009 00:00:00 , -0.412018, -0.392612,
01-Jan-2009 01:00:00 , 0.161458, 0.168117,
01-Jan-2009 02:00:00 , 0.647147, 0.645112,
01-Jan-2009 03:00:00 , 0.941210, 0.945880,
01-Jan-2009 04:00:00 , 0.990073, 0.990648,
01-Jan-2009 05:00:00 , 0.802419, 0.766262,
01-Jan-2009 06:00:00 , 0.445378, 0.383865,
01-Jan-2009 07:00:00 , 0.026050, -0.013465,
01-Jan-2009 08:00:00 , -0.336827, -0.338743,
01-Jan-2009 09:00:00 , -0.543758, -0.519377,
01-Jan-2009 10:00:00 , -0.540048, -0.493957,
01-Jan-2009 11:00:00 , -0.329561, -0.271724,
01-Jan-2009 12:00:00 , 0.026763, 0.078806,
01-Jan-2009 13:00:00 , 0.427142, 0.466540,
01-Jan-2009 14:00:00 , 0.755740, 0.783910,
01-Jan-2009 15:00:00 , 0.913096, 0.929023,
01-Jan-2009 16:00:00 , 0.842410, 0.832529,
01-Jan-2009 17:00:00 , 0.544971, 0.488508,
01-Jan-2009 18:00:00 , 0.080794, -0.012647,
01-Jan-2009 19:00:00 , -0.445715, -0.531379,
01-Jan-2009 20:00:00 , -0.911430, -0.959156,
01-Jan-2009 21:00:00 , -1.205047, -1.214533,
01-Jan-2009 22:00:00 , -1.254782, -1.232312,
01-Jan-2009 23:00:00 , -1.046286, -1.004747,
02-Jan-2009 00:00:00 , -0.626290, -0.584988,
02-Jan-2009 01:00:00 , -0.091124, -0.062797,
02-Jan-2009 02:00:00 , 0.436970, 0.446607,
02-Jan-2009 03:00:00 , 0.839754, 0.837710,
02-Jan-2009 04:00:00 , 1.031641, 1.030028,
02-Jan-2009 05:00:00 , 0.979946, 0.963234,
02-Jan-2009 06:00:00 , 0.711783, 0.660718,
02-Jan-2009 07:00:00 , 0.306019, 0.252010,
02-Jan-2009 08:00:00 , -0.127538, -0.138523,
02-Jan-2009 09:00:00 , -0.476356, -0.442081,
02-Jan-2009 10:00:00 , -0.653632, -0.589750,
02-Jan-2009 11:00:00 , -0.619830, -0.534716,
02-Jan-2009 12:00:00 , -0.391949, -0.305824,
02-Jan-2009 13:00:00 , -0.038304, 0.026032,
02-Jan-2009 14:00:00 , 0.339723, 0.377249,
02-Jan-2009 15:00:00 , 0.634239, 0.647010,
02-Jan-2009 16:00:00 , 0.758920, 0.744163,
02-Jan-2009 17:00:00 , 0.671484, 0.617889,
02-Jan-2009 18:00:00 , 0.384907, 0.283855,
02-Jan-2009 19:00:00 , -0.035430, -0.159593,
02-Jan-2009 20:00:00 , -0.487891, -0.587824,
02-Jan-2009 21:00:00 , -0.859952, -0.911541,
02-Jan-2009 22:00:00 , -1.056379, -1.060906,
02-Jan-2009 23:00:00 , -1.023168, -0.987105,
03-Jan-2009 00:00:00 , -0.761266, -0.702359,
03-Jan-2009 01:00:00 , -0.326684, -0.269541,
03-Jan-2009 02:00:00 , 0.182983, 0.222221,
03-Jan-2009 03:00:00 , 0.652233, 0.666755,
03-Jan-2009 04:00:00 , 0.975623, 0.972584,
03-Jan-2009 05:00:00 , 1.083089, 1.070768,
03-Jan-2009 06:00:00 , 0.956412, 0.919086,
03-Jan-2009 07:00:00 , 0.632836, 0.565518,
03-Jan-2009 08:00:00 , 0.195096, 0.141071,
03-Jan-2009 09:00:00 , -0.249557, -0.250353,
03-Jan-2009 10:00:00 , -0.596008, -0.547711,
03-Jan-2009 11:00:00 , -0.766966, -0.682491,
03-Jan-2009 12:00:00 , -0.731345, -0.622359,
03-Jan-2009 13:00:00 , -0.510869, -0.406169,
03-Jan-2009 14:00:00 , -0.173427, -0.097525,
03-Jan-2009 15:00:00 , 0.185028, 0.227080,
03-Jan-2009 16:00:00 , 0.465363, 0.471379,
03-Jan-2009 17:00:00 , 0.590666, 0.556290,
03-Jan-2009 18:00:00 , 0.525803, 0.445768,
03-Jan-2009 19:00:00 , 0.286272, 0.162753,
03-Jan-2009 20:00:00 , -0.065770, -0.201593,
03-Jan-2009 21:00:00 , -0.437270, -0.540455,
03-Jan-2009 22:00:00 , -0.727820, -0.777317,
03-Jan-2009 23:00:00 , -0.855106, -0.850055,
04-Jan-2009 00:00:00 , -0.775907, -0.723467,
04-Jan-2009 01:00:00 , -0.497457, -0.420504,
04-Jan-2009 02:00:00 , -0.076356, -0.002871,
04-Jan-2009 03:00:00 , 0.394676, 0.445949,
04-Jan-2009 04:00:00 , 0.808932, 0.828790,
04-Jan-2009 05:00:00 , 1.071295, 1.065656,
04-Jan-2009 06:00:00 , 1.121009, 1.095061,
04-Jan-2009 07:00:00 , 0.946101, 0.885363,
04-Jan-2009 08:00:00 , 0.585998, 0.496135,
04-Jan-2009 09:00:00 , 0.121795, 0.051522,
04-Jan-2009 10:00:00 , -0.343385, -0.358359,
04-Jan-2009 11:00:00 , -0.709069, -0.670299,
04-Jan-2009 12:00:00 , -0.901131, -0.814781,
04-Jan-2009 13:00:00 , -0.888757, -0.770204,
04-Jan-2009 14:00:00 , -0.690647, -0.574730,
04-Jan-2009 15:00:00 , -0.369081, -0.280621,
04-Jan-2009 16:00:00 , -0.013445, 0.038763,
04-Jan-2009 17:00:00 , 0.282601, 0.290345,
04-Jan-2009 18:00:00 , 0.444647, 0.405302,
04-Jan-2009 19:00:00 , 0.435933, 0.351176,
04-Jan-2009 20:00:00 , 0.266143, 0.142715,
04-Jan-2009 21:00:00 , -0.011528, -0.143029,
04-Jan-2009 22:00:00 , -0.314224, -0.412113,
04-Jan-2009 23:00:00 , -0.550738, -0.593134,
05-Jan-2009 00:00:00 , -0.644974, -0.627390,
05-Jan-2009 01:00:00 , -0.555768, -0.486677,
05-Jan-2009 02:00:00 , -0.288143, -0.193922,
05-Jan-2009 03:00:00 , 0.106793, 0.196946,
05-Jan-2009 04:00:00 , 0.543333, 0.608088,
05-Jan-2009 05:00:00 , 0.921297, 0.948639,
05-Jan-2009 06:00:00 , 1.149927, 1.144478,
05-Jan-2009 07:00:00 , 1.169775, 1.133130,
05-Jan-2009 08:00:00 , 0.967287, 0.884293,
05-Jan-2009 09:00:00 , 0.578541, 0.461014,
05-Jan-2009 10:00:00 , 0.081223, -0.019453,
05-Jan-2009 11:00:00 , -0.423234, -0.470860,
05-Jan-2009 12:00:00 , -0.833070, -0.820309,
05-Jan-2009 13:00:00 , -1.069559, -0.995698,
05-Jan-2009 14:00:00 , -1.094734, -0.979710,
05-Jan-2009 15:00:00 , -0.919253, -0.801434,
05-Jan-2009 16:00:00 , -0.598608, -0.502861,
05-Jan-2009 17:00:00 , -0.218670, -0.159166,
05-Jan-2009 18:00:00 , 0.125848, 0.137651,
05-Jan-2009 19:00:00 , 0.354731, 0.321646,
05-Jan-2009 20:00:00 , 0.421705, 0.349289,
05-Jan-2009 21:00:00 , 0.325251, 0.217216,
05-Jan-2009 22:00:00 , 0.108175, -0.009694,
05-Jan-2009 23:00:00 , -0.153944, -0.241765,
06-Jan-2009 00:00:00 , -0.372560, -0.405262,
06-Jan-2009 01:00:00 , -0.469338, -0.438981,
06-Jan-2009 02:00:00 , -0.396967, -0.313183,
06-Jan-2009 03:00:00 , -0.152419, -0.042686,
