Harmonics from: ,wlev_8735_31-Dec-2011_02-Jan-2013.csv,
Mean ,2.200951,
Latitude ,50.513000,
Time_Local , pred_8 , pred_all , pred_noshallow 
31-Dec-2011 00:00:00 , -0.862466, -0.868954, -0.875931
31-Dec-2011 01:00:00 , -0.480810, -0.480125, -0.488135
31-Dec-2011 02:00:00 , 0.005551, 0.010395, 0.003856
31-Dec-2011 03:00:00 , 0.489430, 0.493431, 0.492422
31-Dec-2011 04:00:00 , 0.865415, 0.868219, 0.871832
31-Dec-2011 05:00:00 , 1.054943, 1.061684, 1.063148
31-Dec-2011 06:00:00 , 1.024419, 1.037160, 1.032423
31-Dec-2011 07:00:00 , 0.792075, 0.804071, 0.797814
31-Dec-2011 08:00:00 , 0.422087, 0.424255, 0.423994
31-Dec-2011 09:00:00 , 0.007668, -0.001328, 0.005322
31-Dec-2011 10:00:00 , -0.352473, -0.365873, -0.357957
31-Dec-2011 11:00:00 , -0.578366, -0.589301, -0.584489
31-Dec-2011 12:00:00 , -0.627700, -0.633948, -0.631329
31-Dec-2011 13:00:00 , -0.504879, -0.506591, -0.503355
31-Dec-2011 14:00:00 , -0.258183, -0.254944, -0.250336
31-Dec-2011 15:00:00 , 0.033989, 0.042668, 0.047347
31-Dec-2011 16:00:00 , 0.284138, 0.297470, 0.300469
31-Dec-2011 17:00:00 , 0.418538, 0.434403, 0.434454
31-Dec-2011 18:00:00 , 0.396192, 0.411252, 0.408586
31-Dec-2011 19:00:00 , 0.219192, 0.229334, 0.226130
31-Dec-2011 20:00:00 , -0.068007, -0.065368, -0.066944
31-Dec-2011 21:00:00 , -0.390060, -0.393619, -0.394031
31-Dec-2011 22:00:00 , -0.659976, -0.665694, -0.667481
31-Dec-2011 23:00:00 , -0.801232, -0.805940, -0.810708
01-Jan-2012 00:00:00 , -0.767240, -0.770149, -0.777356
01-Jan-2012 01:00:00 , -0.553342, -0.554926, -0.562957
01-Jan-2012 02:00:00 , -0.198451, -0.199961, -0.206411
01-Jan-2012 03:00:00 , 0.224008, 0.220568, 0.218932
01-Jan-2012 04:00:00 , 0.623517, 0.618020, 0.622372
01-Jan-2012 05:00:00 , 0.913930, 0.910897, 0.917036
01-Jan-2012 06:00:00 , 1.033703, 1.038753, 1.040115
01-Jan-2012 07:00:00 , 0.960025, 0.971686, 0.967359
01-Jan-2012 08:00:00 , 0.713496, 0.721513, 0.718381
01-Jan-2012 09:00:00 , 0.352394, 0.346940, 0.351517
01-Jan-2012 10:00:00 , -0.041894, -0.060977, -0.050524
01-Jan-2012 11:00:00 , -0.384602, -0.409734, -0.400672
01-Jan-2012 12:00:00 , -0.607582, -0.632101, -0.628239
01-Jan-2012 13:00:00 , -0.674732, -0.696123, -0.695246
01-Jan-2012 14:00:00 , -0.589209, -0.605326, -0.604331
01-Jan-2012 15:00:00 , -0.390877, -0.397743, -0.396377
01-Jan-2012 16:00:00 , -0.144821, -0.139428, -0.138677
01-Jan-2012 17:00:00 , 0.076022, 0.093413, 0.093178
01-Jan-2012 18:00:00 , 0.209734, 0.236769, 0.234951
01-Jan-2012 19:00:00 , 0.221066, 0.254193, 0.249960
01-Jan-2012 20:00:00 , 0.110055, 0.143486, 0.137863
01-Jan-2012 21:00:00 , -0.088438, -0.061735, -0.065970
01-Jan-2012 22:00:00 , -0.314042, -0.298177, -0.300062
01-Jan-2012 23:00:00 , -0.496626, -0.490791, -0.492840
02-Jan-2012 00:00:00 , -0.574532, -0.576111, -0.580998
02-Jan-2012 01:00:00 , -0.510739, -0.518838, -0.525746
02-Jan-2012 02:00:00 , -0.302962, -0.317731, -0.323086
02-Jan-2012 03:00:00 , 0.014792, -0.005045, -0.005735
02-Jan-2012 04:00:00 , 0.379593, 0.359104, 0.363758
02-Jan-2012 05:00:00 , 0.714087, 0.699455, 0.707086
02-Jan-2012 06:00:00 , 0.944599, 0.942410, 0.948223
02-Jan-2012 07:00:00 , 1.018461, 1.030814, 1.031220
02-Jan-2012 08:00:00 , 0.916414, 0.936360, 0.933550
02-Jan-2012 09:00:00 , 0.657123, 0.671022, 0.671768
02-Jan-2012 10:00:00 , 0.292780, 0.290120, 0.298010
02-Jan-2012 11:00:00 , -0.103088, -0.122641, -0.111945
02-Jan-2012 12:00:00 , -0.452633, -0.482593, -0.476241
02-Jan-2012 13:00:00 , -0.691414, -0.725879, -0.725880
02-Jan-2012 14:00:00 , -0.782616, -0.817470, -0.820375
02-Jan-2012 15:00:00 , -0.724418, -0.753656, -0.756281
